id_estoque,ingrediente,quantidade,unidade
4485,Leite,1.94,g
406,Farinha,53.23,kg
7376,Café,80.83,ml
7152,Mel,9.55,ml
9876,Mel,23.87,ml
7103,Farinha,69.17,ml
7773,Farinha,68.51,g
7378,Mel,56.87,ml
357,Chocolate,99.73,g
4652,Café,88.08,L
2916,Farinha,3.3,g
7057,Café,60.37,kg
3780,Café,33.76,L
7417,Leite,6.59,ml
7387,Mel,92.18,kg
6095,Açúcar,41.89,ml
2689,Chocolate,32.47,ml
6290,Açúcar,49.98,ml
1668,Leite,77.87,g
2082,Açúcar,93.55,L
2300,Leite,30.62,ml
8648,Leite,70.34,g
1808,Leite,80.81,L
2316,Farinha,75.78,L
4760,Chocolate,59.56,L
2700,Farinha,47.41,ml
4372,Açúcar,35.08,L
2807,Leite,17.63,g
363,Mel,84.05,g
8197,Leite,94.49,ml
3428,Mel,29.66,kg
7815,Farinha,58.34,L
8553,Mel,25.72,kg
7919,Mel,48.6,g
2584,Farinha,91.09,g
6392,Canela,60.33,g
8346,Açúcar,80.38,ml
8697,Farinha,2.9,g
3297,Chocolate,45.86,ml
2930,Açúcar,78.59,ml
7769,Chocolate,90.83,g
4496,Canela,44.19,kg
6012,Farinha,26.55,g
5366,Leite,29.86,L
6320,Canela,55.57,L
7955,Farinha,2.19,kg
761,Café,70.58,g
5361,Café,76.43,ml
8083,Canela,44.41,g
4538,Café,49.4,L
3185,Açúcar,58.43,L
1975,Mel,50.98,ml
1492,Farinha,12.63,g
1736,Farinha,13.6,kg
7609,Mel,52.37,g
4878,Açúcar,11.99,g
9260,Canela,2.7,g
2005,Café,79.07,ml
1573,Açúcar,68.58,L
5166,Farinha,67.47,ml
3164,Canela,98.72,L
8167,Açúcar,30.3,g
2579,Farinha,45.77,ml
868,Chocolate,43.98,g
3566,Leite,9.88,L
3988,Canela,59.77,L
7555,Farinha,95.39,L
6359,Açúcar,48.91,ml
6418,Farinha,32.33,g
8460,Leite,57.22,kg
9433,Canela,76.37,g
984,Mel,13.13,kg
3074,Chocolate,74.36,L
5553,Mel,84.46,ml
6263,Farinha,50.31,kg
8155,Mel,4.56,g
2677,Farinha,72.38,ml
7774,Açúcar,78.17,kg
7515,Mel,85.02,ml
9693,Chocolate,74.99,g
9321,Café,34.77,ml
5549,Açúcar,83.69,ml
3186,Chocolate,29.85,ml
1316,Chocolate,69.05,L
3273,Mel,61.8,ml
496,Café,82.38,ml
2473,Mel,89.04,g
609,Café,71.41,kg
5976,Canela,3.7,L
2580,Mel,2.01,ml
8457,Farinha,59.75,L
7611,Café,44.78,ml
6052,Café,91.57,g
7532,Leite,34.04,g
1506,Café,58.2,L
834,Café,79.26,kg
8946,Mel,29.72,ml
3816,Café,14.96,ml
8046,Leite,1.76,g
7819,Mel,73.32,L
6031,Mel,45.38,kg
8110,Café,58.43,L
2762,Leite,27.4,L
5081,Café,86.19,g
1931,Chocolate,24.34,ml
1100,Mel,35.85,kg
8017,Café,78.82,g
5128,Chocolate,24.61,g
6159,Canela,57.47,g
470,Açúcar,73.74,ml
5914,Farinha,52.72,ml
9998,Leite,45.06,g
753,Leite,63.8,kg
2888,Canela,83.15,g
59,Chocolate,97.7,L
2721,Açúcar,84.94,L
797,Mel,18.86,L
5635,Açúcar,31.96,g
7312,Mel,71.19,kg
1180,Farinha,52.89,ml
7574,Canela,27.59,g
6705,Canela,83.34,kg
4225,Mel,93.29,kg
3643,Açúcar,33.56,kg
385,Mel,5.85,L
9636,Açúcar,38.11,L
8720,Açúcar,24.51,ml
2003,Farinha,90.26,ml
8373,Chocolate,35.78,g
4547,Farinha,8.31,kg
5539,Canela,24.82,L
1540,Canela,37.98,kg
9667,Açúcar,10.55,kg
4384,Farinha,36.75,g
2482,Mel,74.03,ml
2611,Chocolate,35.99,kg
7348,Leite,33.27,g
7281,Açúcar,12.34,g
6142,Açúcar,30.86,ml
1554,Farinha,28.26,L
5451,Mel,81.98,kg
4289,Café,90.71,g
7336,Farinha,12.48,kg
3955,Farinha,29.8,g
8574,Farinha,8.85,L
7391,Canela,64.44,L
2015,Café,41.82,kg
9960,Leite,92.47,g
1174,Canela,47.8,ml
6744,Chocolate,99.36,L
9927,Açúcar,16.88,kg
7765,Chocolate,74.54,L
2520,Leite,29.07,g
101,Farinha,93.82,kg
243,Café,15.07,L
7322,Mel,85.66,ml
6125,Chocolate,23.02,g
9961,Leite,61.0,L
8826,Chocolate,81.86,L
535,Mel,86.93,g
3873,Farinha,92.43,g
8290,Café,96.63,g
5623,Canela,23.44,kg
2767,Chocolate,74.06,ml
4174,Mel,72.38,ml
1153,Farinha,6.11,ml
8276,Farinha,36.6,g
2206,Açúcar,38.72,kg
5211,Mel,99.53,kg
804,Farinha,54.72,ml
3760,Farinha,33.43,ml
273,Café,31.55,L
7116,Mel,51.26,kg
3320,Açúcar,92.36,g
6377,Leite,51.85,g
1148,Canela,18.16,kg
9975,Chocolate,10.27,L
9754,Leite,89.45,kg
7784,Chocolate,21.5,ml
1366,Mel,24.34,L
9422,Mel,52.23,kg
8337,Café,76.67,L
3506,Café,18.12,g
1945,Leite,86.38,g
5526,Farinha,30.4,ml
8552,Mel,88.87,g
6450,Chocolate,43.46,g
435,Farinha,29.82,kg
6633,Canela,94.06,ml
2666,Farinha,96.15,g
1464,Chocolate,81.15,g
5482,Leite,41.43,L
3277,Açúcar,33.11,L
8483,Chocolate,12.82,g
3024,Mel,44.83,kg
2394,Chocolate,95.85,kg
5206,Chocolate,57.48,g
6498,Farinha,2.87,kg
5000,Chocolate,81.79,ml
224,Farinha,25.92,g
2121,Mel,39.87,kg
2683,Canela,9.12,g
6384,Chocolate,99.91,g
9864,Farinha,52.08,ml
4990,Café,15.95,L
7570,Canela,40.66,kg
7799,Farinha,61.02,ml
7185,Canela,10.2,L
6121,Canela,36.32,ml
412,Canela,27.24,kg
3501,Açúcar,56.68,kg
1571,Mel,77.32,g
5086,Canela,77.19,g
2124,Canela,94.49,L
9955,Chocolate,51.57,kg
9984,Café,3.74,ml
2780,Chocolate,12.38,ml
7636,Mel,33.37,L
3466,Leite,15.98,kg
7362,Farinha,19.64,g
95,Mel,47.9,kg
5230,Café,59.95,kg
8674,Farinha,94.64,kg
9598,Mel,31.28,ml
9791,Açúcar,62.85,L
3363,Farinha,48.25,L
1057,Chocolate,98.66,ml
1349,Farinha,79.64,g
5435,Canela,79.29,kg
538,Chocolate,38.46,L
3670,Açúcar,76.29,kg
204,Leite,10.3,L
734,Canela,35.89,kg
1698,Leite,94.27,ml
4083,Canela,33.28,kg
8234,Farinha,46.64,L
5732,Mel,49.94,ml
7891,Mel,68.19,kg
2865,Mel,67.14,ml
94,Açúcar,58.72,g
7813,Açúcar,31.79,kg
5089,Farinha,79.02,L
2812,Leite,26.89,L
5287,Leite,10.09,L
8045,Chocolate,3.83,ml
3190,Chocolate,32.11,g
9762,Mel,67.21,L
9953,Canela,47.36,L
9119,Farinha,18.78,g
8272,Açúcar,48.97,kg
7369,Mel,36.4,kg
7994,Farinha,36.12,kg
8482,Leite,7.86,g
3133,Açúcar,53.35,g
3307,Leite,20.29,g
867,Farinha,75.03,kg
2857,Chocolate,69.68,ml
3541,Farinha,99.23,ml
3082,Chocolate,22.56,g
9323,Canela,98.52,kg
1355,Mel,59.32,ml
2337,Leite,94.23,ml
8994,Chocolate,4.75,L
1361,Mel,48.87,kg
2170,Farinha,51.85,L
7680,Leite,24.16,ml
5886,Farinha,29.99,g
1533,Café,1.43,kg
7270,Chocolate,41.21,ml
1138,Mel,91.03,kg
3321,Chocolate,47.77,L
4100,Açúcar,68.81,L
1240,Mel,17.06,L
6075,Leite,12.01,kg
971,Mel,93.53,kg
8818,Leite,95.36,ml
3827,Chocolate,63.39,ml
3567,Café,50.81,ml
3358,Açúcar,50.95,L
8297,Leite,5.67,L
7424,Mel,7.31,ml
3767,Leite,61.99,ml
3701,Açúcar,78.09,ml
5916,Chocolate,14.7,g
5696,Farinha,86.22,ml
2937,Leite,22.3,ml
322,Canela,2.92,kg
48,Canela,66.04,kg
6493,Mel,90.32,kg
8121,Farinha,36.81,kg
9866,Canela,51.23,ml
4747,Farinha,68.27,ml
5952,Mel,61.98,g
2706,Mel,18.53,ml
4397,Chocolate,12.12,ml
9031,Açúcar,20.34,g
1461,Leite,23.85,kg
2160,Açúcar,21.56,kg
3615,Mel,69.5,ml
6244,Leite,39.5,kg
3647,Chocolate,31.76,kg
9376,Açúcar,76.28,g
2645,Mel,32.45,g
4908,Canela,18.84,g
5177,Canela,17.38,ml
5201,Açúcar,19.53,g
4096,Canela,23.19,kg
7462,Mel,84.59,kg
8733,Açúcar,28.52,kg
2928,Açúcar,63.38,ml
4137,Chocolate,11.15,kg
9193,Leite,11.75,L
5102,Farinha,44.08,L
6534,Canela,24.07,ml
7479,Leite,95.77,g
5927,Mel,95.24,L
5726,Açúcar,5.16,ml
6127,Açúcar,6.93,g
8632,Açúcar,11.0,ml
1859,Café,66.84,ml
4846,Mel,87.78,ml
8152,Mel,21.43,g
354,Mel,45.26,kg
4275,Mel,1.26,g
3862,Açúcar,21.86,L
6361,Café,21.16,ml
2926,Canela,68.71,g
4204,Farinha,21.63,g
3180,Farinha,97.83,L
2756,Café,61.84,kg
2542,Farinha,51.38,g
5774,Canela,65.79,g
7320,Mel,45.03,g
5795,Mel,32.89,kg
4247,Açúcar,19.72,g
8462,Mel,93.06,kg
770,Café,56.44,kg
2925,Farinha,16.48,kg
5419,Açúcar,39.77,kg
7670,Canela,96.68,g
1707,Café,21.42,kg
2846,Mel,80.81,ml
6032,Mel,78.79,kg
3442,Chocolate,88.86,kg
4540,Café,22.89,ml
9503,Leite,47.19,kg
244,Leite,44.77,kg
3430,Açúcar,63.97,L
6780,Leite,45.57,g
7486,Leite,63.2,g
1866,Mel,94.22,g
4324,Mel,90.59,ml
4588,Mel,55.52,L
5471,Café,16.19,ml
5423,Chocolate,43.23,ml
8583,Café,27.12,L
3778,Farinha,5.23,g
8679,Mel,79.6,ml
1039,Leite,93.02,L
497,Canela,96.65,g
8732,Farinha,36.34,kg
7098,Café,93.2,ml
4004,Café,25.14,ml
4205,Açúcar,41.49,kg
6432,Café,26.94,g
928,Mel,10.66,kg
6965,Açúcar,28.18,g
333,Canela,97.78,g
6126,Café,39.18,g
4267,Chocolate,88.76,g
6344,Farinha,95.73,kg
6491,Leite,71.46,g
3088,Farinha,84.66,g
1600,Farinha,31.36,kg
9204,Leite,58.05,g
2549,Farinha,72.02,kg
2153,Farinha,38.51,ml
4312,Mel,18.45,L
6314,Chocolate,84.47,kg
6905,Leite,48.21,g
86,Café,41.68,ml
7973,Leite,83.44,L
2060,Leite,9.34,g
413,Café,66.79,ml
4942,Chocolate,30.54,L
873,Açúcar,46.64,g
2577,Canela,38.08,ml
4595,Canela,87.35,L
3215,Café,20.48,kg
2154,Açúcar,27.39,g
9537,Canela,64.95,L
4481,Farinha,36.72,ml
1006,Café,75.54,ml
8423,Chocolate,71.94,L
4768,Canela,77.08,L
3800,Canela,15.36,L
1334,Farinha,44.58,kg
90,Mel,84.71,ml
3117,Chocolate,73.62,kg
3247,Canela,31.97,kg
4140,Canela,59.02,g
7741,Café,29.78,ml
7018,Mel,8.16,g
2020,Chocolate,58.5,L
5245,Mel,2.98,g
1195,Farinha,1.59,kg
1762,Mel,86.53,ml
3540,Café,57.24,g
6770,Mel,53.26,g
5329,Chocolate,96.92,kg
8024,Farinha,55.87,L
8682,Açúcar,34.69,g
1017,Açúcar,80.72,kg
1740,Canela,4.85,g
1678,Chocolate,55.43,L
2994,Mel,32.27,kg
5958,Chocolate,68.94,ml
2845,Chocolate,62.82,ml
6191,Leite,17.65,g
5488,Farinha,60.36,ml
3265,Chocolate,78.21,L
9909,Canela,81.71,ml
5632,Café,78.58,g
109,Canela,18.71,L
3618,Café,86.28,L
1745,Açúcar,75.86,L
5023,Açúcar,88.58,L
3684,Leite,12.22,ml
529,Café,67.81,ml
2715,Açúcar,72.41,g
5401,Leite,98.66,L
9018,Açúcar,56.83,L
6156,Açúcar,11.32,kg
1375,Chocolate,12.7,L
1394,Canela,27.61,kg
4821,Mel,66.16,ml
127,Leite,98.6,kg
1596,Leite,60.15,ml
8774,Mel,2.51,L
1752,Mel,14.41,g
2287,Canela,74.98,kg
3006,Açúcar,15.19,L
951,Mel,92.56,L
9098,Mel,7.45,g
3257,Canela,64.39,kg
5777,Farinha,83.16,L
5117,Leite,43.65,g
822,Café,63.41,g
8885,Açúcar,46.08,ml
1798,Mel,40.64,kg
5326,Canela,80.11,L
6622,Farinha,15.8,kg
3986,Leite,71.93,kg
8519,Leite,33.91,ml
9108,Leite,6.25,kg
3887,Leite,68.29,ml
9073,Chocolate,35.92,kg
8268,Farinha,87.45,L
74,Açúcar,12.01,kg
7302,Açúcar,83.47,g
1732,Açúcar,75.74,ml
7841,Café,63.86,g
211,Café,41.02,L
1398,Mel,88.71,g
9088,Chocolate,59.76,g
7088,Chocolate,79.23,g
8098,Canela,94.4,ml
9842,Açúcar,29.48,g
7432,Leite,90.03,L
371,Canela,15.3,ml
4983,Farinha,19.04,kg
1331,Café,60.32,ml
4569,Chocolate,13.29,kg
8647,Açúcar,93.2,kg
7557,Chocolate,12.93,ml
7049,Açúcar,87.99,ml
3248,Canela,68.39,kg
6198,Açúcar,54.84,g
6604,Açúcar,30.48,L
5291,Café,80.35,L
1550,Leite,89.94,L
4840,Chocolate,17.89,L
9200,Leite,47.2,L
7665,Farinha,12.14,L
7662,Açúcar,16.14,L
7494,Farinha,62.31,ml
1731,Açúcar,42.42,g
5393,Mel,86.62,ml
2818,Café,17.04,g
6716,Café,89.69,ml
1651,Leite,7.76,g
1056,Chocolate,45.67,L
5804,Café,25.27,g
2374,Chocolate,22.1,ml
6181,Leite,36.31,L
4825,Café,26.39,ml
2992,Açúcar,36.34,L
93,Leite,67.18,L
2714,Mel,46.69,g
9352,Mel,26.65,L
4833,Leite,82.1,L
390,Canela,49.08,L
5202,Açúcar,92.44,L
1098,Leite,95.14,ml
763,Café,57.42,L
6372,Café,52.03,g
9391,Café,47.09,g
5368,Açúcar,55.57,L
9546,Leite,7.05,g
8352,Mel,66.5,kg
8413,Café,34.88,kg
1985,Canela,41.31,ml
391,Mel,42.43,kg
9395,Açúcar,33.66,kg
9478,Leite,26.94,L
1726,Mel,40.82,g
2716,Canela,57.58,kg
3817,Açúcar,70.77,L
6325,Farinha,61.49,kg
5018,Leite,61.55,kg
4095,Canela,13.03,L
8400,Café,57.11,ml
1579,Leite,76.41,kg
5903,Mel,58.22,ml
9382,Mel,22.53,g
3259,Chocolate,56.31,L
341,Café,24.63,L
5653,Farinha,80.88,g
2822,Chocolate,12.32,ml
1497,Mel,13.2,g
7914,Leite,2.35,ml
9289,Açúcar,35.12,g
6284,Mel,91.97,kg
9440,Açúcar,76.07,L
450,Café,72.95,g
2977,Leite,73.09,kg
724,Chocolate,91.49,L
445,Chocolate,87.26,L
9709,Canela,86.12,g
9818,Açúcar,37.78,ml
4415,Leite,52.41,ml
3479,Café,90.69,g
5062,Canela,61.27,ml
3570,Farinha,93.78,L
1143,Leite,50.18,g
2859,Açúcar,46.56,g
8920,Chocolate,80.58,g
7395,Farinha,65.11,L
1357,Canela,72.63,ml
2397,Canela,5.98,kg
6278,Chocolate,92.51,L
4536,Mel,73.26,g
5926,Canela,33.48,g
2923,Leite,6.31,ml
4300,Canela,73.58,g
4526,Canela,55.09,L
438,Canela,68.74,kg
4394,Farinha,98.8,kg
930,Mel,72.17,kg
4767,Mel,57.07,kg
6875,Canela,7.82,L
4198,Café,5.0,kg
9053,Farinha,30.96,kg
1856,Mel,45.23,g
9217,Chocolate,62.02,kg
6117,Canela,83.9,g
2412,Açúcar,67.58,kg
4524,Açúcar,54.58,g
7610,Leite,50.02,kg
6139,Leite,5.77,ml
5966,Canela,18.53,ml
8247,Café,50.26,kg
6319,Açúcar,99.36,ml
6661,Leite,13.94,g
7750,Café,57.87,g
2586,Canela,29.12,kg
2366,Leite,29.03,g
2449,Farinha,13.78,L
7461,Café,81.58,kg
5306,Leite,71.43,L
9102,Café,29.08,kg
1635,Café,23.97,kg
6201,Farinha,89.83,g
6524,Farinha,59.27,L
50,Açúcar,53.2,kg
4684,Canela,92.78,kg
8536,Café,97.46,kg
1614,Café,78.51,kg
8405,Mel,71.6,ml
7393,Mel,17.09,kg
40,Chocolate,90.01,g
54,Açúcar,71.9,kg
3828,Café,87.12,ml
7706,Canela,62.4,ml
4739,Açúcar,72.05,ml
1591,Canela,31.54,L
6738,Farinha,39.32,L
2089,Farinha,38.76,g
4706,Leite,28.2,ml
4861,Leite,76.09,kg
6784,Chocolate,42.4,L
1916,Canela,95.1,L
5370,Canela,92.54,L
6035,Chocolate,94.97,kg
67,Açúcar,45.55,ml
3202,Leite,76.83,ml
3561,Canela,13.6,g
3983,Chocolate,73.16,L
4925,Farinha,54.61,ml
9851,Chocolate,4.12,kg
5130,Farinha,9.53,kg
9854,Açúcar,14.63,kg
2472,Mel,51.01,g
5095,Farinha,33.88,g
9259,Açúcar,87.19,ml
2783,Leite,62.28,L
7065,Canela,66.17,ml
1865,Chocolate,14.24,L
7699,Chocolate,74.65,g
9776,Café,62.06,L
377,Farinha,14.92,g
1451,Farinha,62.65,kg
7950,Chocolate,53.1,kg
6123,Chocolate,97.42,L
5348,Farinha,92.56,L
276,Farinha,69.01,ml
8567,Leite,92.08,L
7328,Canela,20.85,ml
6560,Café,38.56,kg
334,Chocolate,43.02,g
3876,Açúcar,2.91,L
8249,Açúcar,39.28,kg
4103,Açúcar,74.17,L
3502,Açúcar,40.56,kg
9173,Açúcar,99.44,L
1165,Chocolate,14.43,L
8123,Farinha,60.19,L
430,Chocolate,77.77,kg
2609,Açúcar,17.92,kg
5835,Farinha,26.25,ml
5174,Café,49.39,g
2880,Açúcar,40.96,L
2048,Chocolate,87.21,kg
1536,Leite,56.21,L
2042,Farinha,67.5,L
2743,Açúcar,96.43,ml
9796,Leite,24.82,kg
3601,Açúcar,31.97,kg
3509,Farinha,83.52,ml
5067,Canela,41.25,L
2966,Canela,90.24,g
169,Café,58.37,ml
2534,Açúcar,58.25,kg
8300,Açúcar,81.14,kg
9375,Mel,83.2,kg
7522,Chocolate,85.31,kg
2023,Leite,70.97,kg
8722,Café,39.0,g
6559,Chocolate,67.08,kg
4458,Mel,47.5,kg
294,Café,41.41,ml
4195,Canela,53.04,L
6382,Chocolate,27.44,ml
4445,Açúcar,50.78,ml
1665,Café,26.6,ml
5637,Leite,42.0,g
4732,Café,92.45,ml
574,Chocolate,8.66,L
4097,Açúcar,44.57,ml
5116,Farinha,66.01,g
6995,Farinha,67.21,L
3007,Mel,90.42,ml
4943,Farinha,61.32,ml
2730,Açúcar,22.22,kg
733,Café,33.6,ml
1973,Açúcar,22.46,g
5559,Chocolate,74.3,ml
19,Leite,78.12,kg
7987,Café,96.91,L
3035,Chocolate,46.77,kg
3542,Mel,12.83,ml
6465,Açúcar,33.66,g
9761,Canela,9.45,ml
1413,Mel,60.14,g
4741,Açúcar,54.94,L
3093,Café,64.18,g
9647,Açúcar,39.57,L
2698,Açúcar,88.51,g
6521,Mel,61.32,ml
2109,Leite,80.05,kg
3037,Leite,8.5,g
8956,Chocolate,59.67,g
7582,Farinha,43.65,L
1282,Farinha,81.13,L
1441,Chocolate,69.24,g
6341,Mel,90.51,ml
1711,Farinha,53.52,L
3922,Mel,19.51,kg
3742,Mel,68.82,L
8789,Café,23.45,ml
9052,Canela,11.04,L
1369,Açúcar,24.61,g
3334,Açúcar,28.65,L
4092,Açúcar,40.81,g
5190,Chocolate,73.45,kg
5237,Café,98.37,ml
5543,Mel,73.65,kg
2074,Leite,35.39,g
2567,Café,3.3,L
1636,Canela,66.22,g
6920,Mel,80.9,g
8467,Leite,5.12,L
6086,Farinha,41.09,kg
7128,Farinha,31.27,L
6056,Açúcar,66.46,L
5699,Açúcar,82.23,kg
1325,Mel,42.07,g
7022,Açúcar,64.07,kg
2013,Leite,69.27,kg
7529,Café,16.73,kg
4685,Canela,73.28,kg
9663,Mel,17.89,L
8687,Chocolate,36.07,kg
6871,Mel,89.08,L
4145,Chocolate,71.85,ml
705,Canela,25.52,ml
6005,Açúcar,59.23,g
2427,Farinha,28.33,L
1047,Açúcar,87.98,ml
9684,Mel,30.45,g
6717,Açúcar,96.22,g
2308,Chocolate,61.41,ml
8938,Farinha,32.65,L
4727,Café,12.14,ml
7821,Açúcar,65.18,g
6258,Chocolate,93.22,g
6014,Farinha,35.91,g
4928,Açúcar,10.35,ml
8933,Chocolate,13.77,g
673,Canela,50.76,kg
9748,Café,92.03,g
1407,Café,88.5,kg
9113,Mel,84.61,kg
6727,Canela,62.09,L
6554,Farinha,97.89,L
7050,Mel,99.15,g
6643,Açúcar,91.97,ml
8177,Chocolate,35.22,kg
5947,Leite,81.5,ml
6640,Canela,5.93,g
7878,Café,33.63,kg
4545,Farinha,70.43,ml
7259,Canela,31.68,g
4421,Café,3.26,g
9041,Leite,90.25,ml
3885,Mel,25.92,g
4026,Canela,57.09,kg
3864,Farinha,13.84,L
6557,Mel,23.39,g
7948,Leite,46.76,ml
6949,Canela,78.07,g
2085,Farinha,28.78,kg
3856,Mel,57.68,ml
3821,Açúcar,51.78,ml
411,Café,58.92,g
2744,Mel,46.51,kg
323,Chocolate,26.95,kg
2655,Farinha,82.62,kg
6679,Café,97.66,g
7177,Chocolate,75.84,ml
7272,Café,79.27,ml
4222,Leite,43.23,g
9594,Mel,72.25,kg
5784,Mel,85.38,ml
1810,Chocolate,81.16,ml
2078,Açúcar,70.01,g
3239,Café,61.81,L
7478,Chocolate,25.77,g
8285,Leite,70.99,kg
4370,Canela,53.51,L
4886,Canela,18.71,g
3178,Leite,53.91,L
4036,Leite,53.59,kg
1850,Farinha,89.13,kg
1679,Chocolate,34.17,ml
8681,Mel,51.57,g
4952,Leite,22.17,kg
1280,Mel,81.3,L
8896,Mel,2.75,ml
8644,Canela,60.11,g
4548,Café,96.76,kg
1033,Canela,73.64,L
3195,Chocolate,70.48,g
7539,Chocolate,96.45,kg
4133,Farinha,2.23,g
9333,Chocolate,33.31,L
9438,Mel,15.76,kg
4634,Açúcar,72.89,kg
4694,Chocolate,6.02,g
8322,Farinha,44.37,L
8840,Açúcar,1.93,kg
7002,Farinha,73.28,kg
5631,Açúcar,1.18,g
3766,Açúcar,85.89,L
6049,Chocolate,47.46,L
7073,Café,1.86,kg
6045,Chocolate,39.75,g
8096,Mel,92.95,kg
3569,Café,79.72,ml
1097,Mel,51.77,L
1060,Mel,50.92,L
5229,Mel,70.84,kg
6022,Chocolate,32.78,kg
5428,Café,57.92,L
2044,Canela,6.41,L
6890,Mel,70.28,kg
3880,Café,30.48,kg
3209,Canela,40.98,g
7379,Chocolate,24.51,kg
2568,Canela,91.02,g
5234,Canela,85.65,g
8428,Mel,21.67,kg
2795,Farinha,97.2,ml
2410,Mel,72.17,L
5509,Açúcar,30.23,ml
2049,Mel,27.89,g
5120,Café,5.61,ml
9012,Farinha,31.56,ml
3578,Farinha,4.36,L
7015,Leite,6.5,L
8534,Açúcar,80.26,kg
5078,Farinha,34.99,ml
1795,Farinha,3.62,kg
3690,Leite,75.19,ml
5655,Açúcar,2.01,ml
8730,Açúcar,89.58,ml
2181,Canela,34.86,g
3593,Chocolate,47.0,kg
8291,Café,46.07,L
6680,Mel,24.86,ml
7527,Farinha,80.4,g
9553,Leite,49.28,L
4618,Açúcar,13.99,ml
1959,Mel,40.62,ml
8706,Chocolate,21.14,ml
8623,Café,7.82,kg
5984,Farinha,23.72,ml
5517,Café,61.11,kg
3252,Açúcar,75.6,kg
5242,Leite,18.45,g
6611,Café,39.6,ml
7912,Leite,31.79,L
1213,Chocolate,80.42,g
2086,Farinha,14.43,ml
367,Mel,85.21,kg
7906,Açúcar,96.75,kg
760,Canela,90.8,ml
1405,Chocolate,53.55,ml
4674,Café,13.59,L
3059,Açúcar,28.07,L
4740,Farinha,48.59,kg
6317,Açúcar,2.28,ml
8318,Mel,53.66,ml
3545,Açúcar,25.02,g
6927,Café,7.8,g
6412,Mel,15.11,kg
8757,Leite,21.48,L
1292,Açúcar,75.25,L
5068,Mel,68.02,kg
8187,Chocolate,76.93,kg
4610,Canela,95.24,L
4699,Café,77.71,g
2924,Farinha,6.92,kg
4586,Açúcar,46.99,g
2261,Leite,89.68,L
7861,Chocolate,12.96,L
1487,Leite,7.74,L
3768,Leite,90.7,kg
4523,Café,95.65,ml
6946,Leite,26.43,kg
