id_item_cardapio,id_estoque,quantidade,unidade
95,3967,16,g
33,9176,16,ml
14,5357,18,g
14,2811,3,g
97,2585,6,g
28,3959,15,ml
27,9515,9,kg
3,1085,2,kg
7,7553,18,ml
39,9850,3,L
43,8525,10,g
95,8785,13,kg
45,3394,5,g
85,369,17,g
60,2416,6,g
33,7162,6,kg
14,3510,4,L
74,7263,8,kg
92,7746,1,kg
70,7242,1,g
94,3189,11,kg
97,5234,7,ml
53,380,2,g
6,1735,9,L
50,2442,16,g
16,9722,15,L
88,8791,19,ml
76,9164,4,L
95,1628,12,kg
12,6826,10,L
99,4505,16,kg
96,2522,4,ml
45,8982,5,L
87,6460,6,L
48,5068,15,g
61,4372,1,ml
57,5896,16,ml
25,1912,2,kg
77,4262,12,L
74,7521,10,kg
83,2983,17,L
77,2779,4,L
84,3167,19,kg
95,3753,15,g
36,3073,5,g
20,5641,2,kg
47,2831,4,L
46,5944,16,g
20,3099,11,L
83,3684,19,g
82,9912,13,ml
30,6930,4,kg
93,8964,20,g
38,6278,18,L
64,7150,17,kg
54,9525,17,L
93,995,5,L
14,9871,7,g
79,8100,12,L
87,9374,7,ml
6,8294,7,L
93,2862,12,ml
9,7444,3,L
21,7697,18,L
30,3031,20,L
99,6583,4,kg
34,32,4,ml
22,1046,7,g
12,8656,16,kg
45,4799,14,L
5,6803,6,g
15,7660,14,ml
78,3096,9,g
26,2571,14,kg
43,9042,6,L
18,5732,14,L
40,5339,20,ml
38,6104,2,ml
51,2184,16,L
63,2777,15,L
4,1086,6,g
83,7283,7,g
94,3244,14,kg
94,4773,9,kg
76,3469,11,g
62,7066,10,g
12,1752,9,ml
54,9676,9,kg
7,3165,14,ml
74,1587,13,g
19,351,4,ml
47,6071,6,g
80,8681,9,ml
69,6384,4,L
92,9877,8,ml
100,7267,8,g
88,1861,19,L
5,233,13,L
40,564,4,g
29,9777,12,L
36,1009,6,g
44,7962,4,g
4,8024,7,g
68,2422,12,g
66,7025,15,kg
68,8261,16,g
68,1036,12,kg
79,7206,17,g
51,7530,1,ml
25,8545,11,ml
38,4668,19,ml
89,7324,4,ml
54,3270,20,ml
70,4549,9,ml
20,6352,20,L
21,1420,16,g
1,4340,10,kg
65,3229,12,ml
43,1797,8,g
29,1886,11,g
78,267,6,L
10,681,4,kg
63,505,16,kg
85,8423,15,L
89,5427,18,L
92,1657,19,ml
98,7714,8,L
62,6726,14,L
40,3217,16,L
72,1775,14,kg
40,4824,12,g
97,8289,9,ml
13,6393,6,g
14,4650,2,g
75,5592,15,L
76,9216,1,kg
92,3812,11,ml
17,2869,19,g
44,874,13,L
20,9904,4,kg
49,8399,17,kg
39,3970,8,ml
35,8756,8,g
9,9975,16,g
3,177,17,kg
95,2647,6,g
76,9513,20,L
6,6677,4,L
75,5497,10,kg
22,8910,11,g
3,9572,8,kg
26,3208,1,L
61,172,18,kg
13,6203,20,ml
48,6451,6,kg
97,7216,19,L
51,1320,19,kg
75,2227,10,L
63,8667,18,g
46,4511,3,kg
68,1951,8,g
32,7431,11,kg
26,5835,2,g
58,5898,17,kg
82,135,20,L
20,2846,6,kg
95,4255,20,ml
73,5639,1,ml
42,4319,5,ml
35,5307,18,g
70,5020,7,ml
94,6569,12,L
44,7375,16,ml
91,3274,18,ml
45,1684,17,g
22,7949,3,g
27,7364,15,ml
52,1407,3,L
22,5737,9,L
87,5980,1,L
74,6740,13,ml
49,3640,7,kg
90,5566,6,g
29,7934,4,ml
57,3058,15,L
29,1524,12,kg
61,8800,3,L
21,4112,7,L
53,1598,15,g
50,4305,12,ml
89,2921,7,L
12,4246,17,L
87,2906,2,L
93,757,14,ml
92,3354,5,ml
56,1638,4,g
8,7419,7,kg
62,651,14,g
61,7278,6,ml
43,4631,13,L
32,4599,20,L
87,5114,10,g
7,606,8,L
66,7317,3,L
82,2342,5,ml
63,1789,8,g
75,6696,4,g
2,1649,1,kg
61,8712,2,ml
86,4473,20,kg
91,8141,16,g
85,7670,18,g
76,9320,9,kg
54,8528,20,ml
7,7280,12,ml
35,3918,13,g
53,431,17,L
59,5249,1,L
72,1305,5,g
21,2811,16,ml
1,3412,15,L
28,5497,5,g
20,2338,7,ml
92,4958,4,g
2,8898,12,L
29,5728,18,kg
38,6868,7,g
35,6079,11,ml
64,1346,15,g
18,6599,11,L
38,7119,8,kg
77,324,8,L
57,6860,8,g
39,9300,17,kg
22,8774,18,kg
65,6627,19,ml
74,7473,14,L
55,8398,4,g
50,4772,8,g
29,4461,6,ml
86,6549,14,L
28,7581,12,kg
93,3094,11,kg
98,8116,18,kg
78,4954,13,L
88,4802,15,L
57,9553,4,ml
49,8321,18,L
52,1533,5,ml
86,5851,20,kg
11,1390,9,kg
19,8070,6,kg
1,6695,12,L
48,3118,18,g
84,3237,5,kg
43,5441,17,kg
2,8746,18,ml
50,1397,7,g
96,7351,3,g
96,2336,9,ml
59,5767,1,g
47,2083,11,g
31,4957,14,kg
88,3768,15,kg
13,936,2,ml
11,5167,8,L
45,8270,20,ml
30,9122,14,ml
77,5081,15,g
52,2232,6,g
50,9727,19,g
48,78,17,ml
48,3165,12,g
34,8095,7,ml
86,9309,12,kg
29,4658,1,g
83,5431,9,L
11,3888,4,g
51,3172,8,L
100,2490,15,L
27,3343,8,kg
34,6296,2,ml
44,3241,11,g
2,8385,13,kg
81,5847,10,kg
84,3469,10,kg
1,4054,15,L
70,72,6,kg
15,1919,11,ml
75,1461,7,L
50,4038,20,ml
71,2921,17,kg
31,8499,2,L
97,9156,7,kg
83,1982,9,ml
47,9680,5,kg
3,2627,13,g
76,4842,19,g
44,4768,6,ml
42,225,7,ml
37,2951,12,ml
21,1379,7,kg
56,4649,11,ml
42,6344,12,kg
36,6225,15,L
2,1456,1,ml
72,2607,20,g
20,79,6,g
54,1314,12,kg
86,1416,7,kg
24,1915,14,g
40,237,7,ml
41,4538,4,L
64,7841,11,g
89,3556,5,kg
20,5544,5,g
96,1061,2,kg
82,4770,15,kg
53,7678,10,L
53,4562,6,g
7,7778,5,g
95,2032,12,kg
51,7722,13,g
39,6658,8,ml
90,1598,16,g
20,891,13,ml
81,8934,5,L
26,26,9,ml
87,72,17,kg
24,1582,18,kg
11,7716,2,L
55,1446,4,ml
65,8998,2,kg
47,9835,9,ml
81,2324,2,ml
14,9033,6,g
5,2862,13,g
41,4783,3,ml
90,5527,6,L
2,3462,13,kg
58,8699,16,ml
62,8226,8,g
15,8376,19,kg
90,9800,7,kg
49,1545,5,L
89,3077,12,g
66,208,13,ml
47,7098,18,ml
85,675,6,L
26,4146,4,ml
21,2864,3,g
78,4993,9,kg
70,4521,16,L
63,1085,11,kg
19,8992,18,kg
76,1933,10,kg
98,3424,19,L
85,7487,6,g
39,8013,19,kg
14,6892,6,L
84,9010,5,g
93,2083,14,kg
18,4963,10,L
20,1961,8,kg
57,352,20,ml
20,4813,8,g
4,721,12,ml
70,5124,8,ml
94,5715,10,ml
37,2218,16,g
78,8877,4,L
41,7514,16,ml
33,8112,14,kg
1,1962,9,kg
94,3193,20,L
52,2774,11,L
30,2083,6,ml
31,3147,15,kg
49,2030,9,g
92,5191,5,g
19,5835,11,g
85,8589,14,ml
96,1399,8,g
66,4299,8,g
55,1201,14,L
69,923,9,g
95,9948,20,kg
40,8773,5,ml
96,9785,9,ml
57,520,14,kg
88,4552,17,g
57,4217,12,L
74,6321,19,L
65,5977,3,kg
28,2636,14,L
87,7153,10,L
69,4909,2,g
84,72,3,kg
21,1762,20,kg
94,4058,20,ml
34,5423,3,kg
1,513,7,g
93,6207,14,kg
33,5045,16,L
73,2506,7,kg
63,1191,15,kg
16,3070,1,ml
99,2108,15,g
80,1559,16,kg
27,7903,19,g
73,51,2,L
42,8714,9,ml
38,5202,2,kg
61,5816,10,kg
16,6560,1,L
13,2296,17,g
63,7722,20,L
55,9644,12,g
38,1843,12,ml
81,1533,13,L
50,2484,6,kg
58,613,7,L
52,5967,18,g
24,9793,1,L
95,8762,9,kg
49,479,8,L
2,5962,4,g
19,1578,16,g
19,9008,14,L
21,6966,5,L
93,9301,11,L
3,9399,2,L
6,9207,10,ml
98,1996,16,g
58,1817,18,ml
59,8989,1,ml
84,6273,6,g
82,8448,17,L
25,9182,14,g
19,5334,6,kg
26,9649,5,g
80,9085,17,ml
26,7719,11,g
5,1201,2,ml
32,9944,3,ml
68,1946,3,ml
14,3341,10,L
29,2239,11,ml
3,7698,5,ml
63,1413,10,L
6,4794,11,ml
44,2801,3,ml
87,1586,2,kg
90,953,8,g
67,8000,14,kg
68,9944,12,ml
82,7202,10,kg
42,3419,14,g
51,9391,1,kg
59,707,9,L
54,2213,1,g
19,1307,16,ml
46,2729,18,L
37,9945,13,g
73,808,6,kg
36,3018,2,kg
24,3383,11,g
29,2425,8,kg
85,6892,8,kg
5,4895,8,L
16,1215,9,L
50,8763,12,L
30,3256,6,kg
93,375,16,kg
36,4244,3,g
93,1590,11,L
53,5649,19,g
70,6772,3,g
69,297,5,L
5,1369,19,L
76,2802,3,kg
72,176,13,L
86,4941,20,kg
57,5027,19,ml
16,9359,8,kg
91,99,14,kg
74,4280,5,L
92,8193,17,g
10,618,8,kg
18,4940,14,kg
61,1802,8,L
40,5732,3,g
72,1459,16,ml
26,615,10,L
74,2095,3,g
93,9467,13,L
29,3908,18,L
78,4684,4,ml
60,9214,20,kg
15,6348,10,kg
47,1952,2,kg
39,154,7,g
66,951,10,L
1,2979,18,ml
59,5003,8,L
23,1724,4,L
41,9323,4,g
60,3586,13,L
41,3126,7,kg
51,4516,9,ml
80,4907,3,g
93,7301,9,ml
31,7681,4,L
57,9599,10,ml
38,2673,18,ml
13,1207,15,ml
69,3933,3,L
76,6340,2,kg
85,7484,18,ml
50,9045,6,L
5,2146,7,L
91,9736,18,g
34,9894,20,g
26,9842,10,g
79,433,11,ml
55,4296,13,kg
4,1525,19,ml
56,1944,16,ml
33,5604,8,ml
5,7060,15,kg
41,4924,2,ml
49,5602,14,kg
61,8942,18,kg
16,3536,5,kg
89,1716,14,kg
87,1696,2,ml
21,6237,5,ml
15,3679,8,kg
75,5490,16,g
56,6243,17,ml
26,9605,1,ml
23,3481,17,g
20,258,17,ml
97,7077,18,kg
88,830,5,L
66,7105,10,g
45,588,19,kg
96,5873,17,kg
89,4871,20,g
57,2239,19,g
55,1297,1,g
69,600,5,kg
66,2184,6,L
94,5300,7,ml
1,6925,7,L
99,9640,4,L
45,1475,13,ml
7,6421,15,L
99,8421,13,g
43,5612,15,L
6,4991,16,kg
91,7736,3,ml
33,3686,6,L
18,8377,16,g
22,1949,5,g
25,6647,16,ml
76,5884,16,ml
78,7407,8,g
3,2601,9,ml
52,8494,6,L
55,3222,10,L
24,6376,12,g
42,5141,18,kg
65,3902,4,L
34,1573,19,L
49,4268,6,ml
13,9293,6,L
80,8607,3,L
11,702,4,L
13,5143,12,g
66,846,5,ml
73,356,13,L
8,2617,20,L
99,1245,8,g
96,3338,5,ml
12,7865,1,L
55,1413,20,g
67,4434,18,kg
15,1904,18,g
27,4496,10,kg
52,2042,7,kg
43,1151,12,g
1,8675,20,kg
2,9136,8,ml
85,905,1,L
66,7637,8,ml
94,9233,6,ml
100,5777,15,ml
83,5344,14,L
46,9340,14,g
58,5064,9,ml
24,1298,16,L
84,1255,16,g
6,8459,8,kg
13,5573,10,g
75,9618,5,ml
67,1623,20,L
71,5132,7,ml
46,25,18,L
88,879,13,L
68,8692,6,kg
20,4816,18,L
4,4930,16,g
91,4154,13,L
3,9777,5,g
59,30,1,g
35,9525,4,ml
63,5551,7,ml
70,5374,15,ml
49,698,1,L
23,9222,14,g
11,8640,3,L
31,273,8,kg
22,5459,7,L
95,6303,19,g
75,5980,9,kg
48,8424,14,g
48,2047,14,L
34,4561,4,L
32,9627,1,L
93,3581,3,g
9,5744,4,kg
98,5786,1,kg
53,1644,7,g
81,2440,18,L
51,7816,11,kg
15,2579,3,L
14,5181,4,L
5,2340,11,g
7,5122,8,kg
91,5103,1,g
4,379,4,ml
4,7807,2,ml
29,7890,20,g
63,35,10,kg
80,3020,9,L
32,5173,9,ml
88,8013,12,L
71,840,3,kg
49,559,5,g
66,8224,17,g
53,8653,14,g
9,2725,11,L
98,610,6,g
2,9018,5,ml
60,9773,5,g
66,5984,11,L
8,1646,13,g
55,1253,9,g
91,9530,11,g
8,5541,12,kg
86,8415,19,L
52,7460,13,kg
85,6203,14,ml
1,4191,20,g
9,4873,12,kg
27,8362,6,ml
95,1253,16,L
15,8422,5,L
21,6688,10,ml
85,6866,3,ml
40,8573,20,L
90,7292,8,g
62,3096,7,g
4,9744,15,ml
36,9318,17,ml
65,8209,2,L
71,6810,1,L
17,8137,13,g
63,8805,14,g
50,777,16,g
83,9792,17,L
60,311,20,g
26,1152,6,ml
72,9509,2,L
20,5595,6,kg
26,487,16,g
40,4662,20,kg
26,333,2,L
69,5683,5,kg
69,1180,18,g
31,8740,5,kg
60,8800,13,L
70,8003,6,kg
63,9815,6,kg
19,6803,8,L
87,8452,11,g
87,2634,1,ml
64,968,14,kg
69,7923,15,L
75,6587,8,L
53,8731,19,kg
64,7693,2,L
4,7016,10,L
24,9015,17,ml
90,7330,20,L
3,1184,9,ml
16,9710,4,L
98,3278,16,kg
90,6405,17,ml
12,3652,14,ml
20,8608,10,kg
19,7142,20,L
40,1349,2,ml
67,6995,6,ml
36,7914,20,ml
85,4074,14,kg
66,5842,16,kg
16,9332,9,ml
42,5160,5,kg
30,2126,13,g
9,407,20,kg
73,7133,18,L
91,9343,9,L
38,4434,8,kg
92,2905,20,L
3,1705,7,L
45,7443,17,g
3,7221,19,ml
80,1661,20,ml
85,8339,17,L
61,1089,13,L
70,1059,2,L
91,5887,10,ml
45,5463,20,L
97,2464,4,ml
5,8366,5,L
26,5976,19,kg
92,1485,7,kg
44,636,4,ml
80,6153,4,L
57,119,10,kg
28,4731,10,L
32,1429,14,L
13,3694,17,L
87,3706,12,g
82,4682,3,kg
54,5365,12,kg
31,2520,14,g
65,8877,13,kg
92,8807,7,g
98,7924,3,L
91,1186,1,ml
60,9209,7,L
60,7254,14,kg
13,9191,12,g
96,6040,4,ml
2,1006,7,L
38,1176,6,g
82,4593,17,L
83,8681,2,ml
100,2164,14,ml
93,9846,5,ml
52,9599,10,ml
72,7684,6,L
72,8944,20,ml
52,9885,11,kg
78,9421,3,kg
72,7740,11,g
66,4920,3,g
53,8813,13,L
15,1661,15,kg
77,4660,12,L
82,3512,11,L
77,7346,16,L
50,7883,11,kg
92,8107,11,kg
20,6956,16,kg
42,5209,3,ml
26,7876,13,ml
31,7986,1,ml
90,6073,19,kg
93,7100,9,g
56,8885,10,g
31,6783,7,kg
67,4829,17,ml
30,7328,6,kg
62,3657,2,L
4,5314,11,g
9,6211,8,L
98,4350,6,kg
25,7471,19,L
15,9210,16,kg
83,8720,20,g
79,9665,16,g
54,4622,20,L
34,8045,5,kg
69,2655,17,kg
75,1893,6,L
55,6431,5,ml
42,6885,12,L
82,1999,6,kg
95,9067,20,g
3,4509,3,kg
65,2170,7,ml
17,6769,19,L
67,8363,15,L
90,8165,4,L
29,4210,16,L
62,6418,15,kg
45,8810,5,ml
85,1207,2,L
59,1028,3,ml
9,1252,9,ml
39,8549,3,ml
50,9457,3,ml
31,3131,6,ml
85,4540,1,ml
55,435,20,g
34,7556,8,L
58,6995,4,ml
37,4451,5,g
15,6020,3,g
26,7487,3,kg
63,9641,14,kg
9,9323,14,g
56,7725,6,kg
7,4738,13,L
3,6053,15,L
17,841,8,ml
32,4966,4,g
69,5562,7,g
20,5785,12,g
74,9136,7,ml
59,9462,18,g
20,9750,15,kg
53,8943,19,L
46,8735,5,L
32,2549,15,L
20,3820,4,L
89,3286,19,L
52,5864,17,kg
97,3748,9,ml
30,4830,5,kg
81,6585,4,ml
82,639,6,kg
82,110,2,kg
48,4838,19,ml
47,8289,9,kg
66,8755,11,L
20,3072,13,ml
29,9706,7,g
13,4242,12,g
63,226,3,g
93,6466,11,ml
91,5883,19,L
80,6142,13,L
29,9634,11,g
28,7689,8,kg
55,9098,15,kg
22,5498,4,ml
84,8221,7,L
28,4814,6,kg
68,9944,1,g
53,9,9,kg
14,1505,14,L
45,5611,2,g
28,7314,6,L
33,5003,12,L
65,77,8,ml
58,3506,9,L
81,4600,5,L
78,3354,15,g
57,1076,7,kg
4,1702,2,kg
22,776,1,L
43,5114,3,kg
95,2973,6,kg
92,9897,8,L
21,6416,10,kg
55,7309,20,L
57,6752,11,g
15,1114,18,g
60,7467,9,ml
84,7665,20,ml
94,3257,11,L
34,4622,17,ml
16,2862,7,kg
66,4840,12,kg
42,4764,10,ml
12,207,16,kg
56,8731,14,L
17,5908,14,ml
64,5637,15,ml
29,3142,14,ml
55,726,3,g
89,4744,16,kg
91,5786,8,g
51,9374,10,g
31,2109,1,g
51,6520,15,kg
63,4245,3,kg
13,283,6,ml
99,5242,8,g
5,4548,1,L
44,9815,19,ml
51,1261,5,g
1,7421,18,g
91,5322,1,g
50,1139,19,kg
86,8403,14,kg
64,8243,4,L
64,6154,4,g
42,8467,8,L
27,279,10,g
95,4506,14,L
2,5069,3,ml
58,3594,13,ml
90,4650,10,ml
35,7718,14,kg
70,5755,3,ml
34,117,9,g
41,7234,15,ml
59,3072,8,g
33,3267,10,g
22,3741,14,ml
17,9604,18,g
76,1699,8,g
61,4790,8,kg
45,4374,11,L
95,2843,2,kg
5,7379,18,L
88,7395,14,L
72,6631,15,kg
66,3360,2,ml
38,9893,20,ml
27,5256,6,ml
50,4055,19,ml
74,5325,10,g
57,8223,10,kg
33,1569,13,L
72,6162,4,L
26,7267,14,kg
39,9856,3,ml
28,5360,12,g
90,229,3,L
33,2564,15,g
57,9892,16,g
16,6257,5,g
40,5970,5,ml
82,4432,1,kg
14,8626,8,L
3,2899,13,L
23,7202,15,L
21,786,18,L
35,4684,1,g
69,7590,2,g
23,5154,12,kg
11,4173,11,kg
63,968,15,g
60,1344,1,ml
33,8752,9,kg
11,3478,8,ml
34,4521,16,ml
88,2895,15,L
35,7836,20,kg
18,5836,6,kg
54,3738,12,kg
21,9971,12,ml
49,9769,16,L
77,9993,15,kg
81,3462,11,ml
20,1836,3,g
28,3844,7,ml
12,2,10,L
7,8687,16,kg
82,9239,6,L
38,4570,16,L
98,8695,1,ml
30,8118,13,ml
82,7568,5,g
89,5017,9,ml
53,303,15,g
95,5219,18,kg
97,8855,13,ml
28,3201,4,kg
27,7192,20,ml
19,1515,14,kg
79,4613,19,L
21,7145,11,L
56,3424,2,kg
24,6310,9,g
6,6752,14,kg
34,8632,1,L
43,6519,9,L
52,8886,19,kg
95,4504,2,kg
97,124,3,ml
60,8146,4,ml
86,3792,16,L
51,5286,2,g
97,5444,10,L
61,3309,6,ml
32,8066,7,L
97,5210,18,kg
51,3999,12,kg
30,1738,13,kg
39,9710,13,ml
36,2182,10,ml
97,7730,10,kg
17,3021,15,ml
54,3281,19,L
76,8084,6,g
70,8467,19,g
93,1504,10,L
81,5468,16,g
93,7983,2,L
53,7289,20,L
77,9328,13,kg
32,2977,14,kg
56,5148,4,L
27,6261,3,L
61,147,18,kg
45,4372,2,kg
47,2922,15,kg
82,9560,12,kg
46,7095,8,kg
6,8874,15,ml
49,569,16,kg
75,3149,1,L
33,9903,14,ml
71,1585,19,ml
97,3063,4,kg
49,7534,6,kg
59,6753,10,g
48,7560,11,ml
6,7385,18,L
83,1257,12,ml
43,7483,6,L
28,125,4,L
26,8968,10,kg
3,7088,16,kg
76,8840,16,kg
96,5505,12,kg
54,3591,16,ml
19,4197,13,ml
99,8621,18,g
8,5058,11,g
22,3844,15,kg
36,9082,1,g
52,7639,12,g
17,5348,2,L
88,8014,2,kg
15,2595,4,L
57,3096,11,kg
33,8894,14,kg
9,7933,18,ml
55,2522,10,ml
52,244,13,g
20,8578,9,g
90,6943,4,kg
64,7770,15,g
17,547,20,g
70,5655,2,g
19,4838,15,ml
40,7321,14,ml
26,6812,4,L
53,5301,1,ml
16,8931,17,ml
8,6423,5,ml
46,8178,6,g
65,4326,16,kg
9,4707,10,g
32,5547,16,ml
39,4174,15,ml
31,7321,14,g
32,4919,4,g
29,6021,14,kg
94,5867,19,g
15,6989,14,kg
73,4232,1,L
80,9843,1,kg
44,3895,11,ml
91,4195,6,kg
59,7781,17,ml
49,8235,13,L
70,4659,11,kg
92,1934,4,g
69,1184,9,L
29,6331,4,ml
92,8682,11,L
27,3299,15,L
5,77,17,kg
49,4384,8,g
22,962,9,g
87,8800,17,g
56,2228,20,L
25,1473,9,g
25,3730,8,L
3,5453,18,kg
15,7564,18,g
15,6622,12,L
71,8616,12,g
8,166,5,g
77,4661,11,g
92,1291,6,L
88,7998,9,L
24,2108,1,g
19,9191,13,g
44,8253,12,ml
20,6165,13,L
9,3111,4,g
12,5850,13,ml
28,7628,7,ml
22,1884,10,L
15,8793,14,kg
89,7972,15,g
56,3761,11,ml
77,8947,1,L
63,6855,6,L
42,7820,5,g
72,743,20,L
82,2840,5,ml
15,5833,11,g
84,9896,6,kg
17,790,11,g
19,226,18,kg
14,7288,18,ml
51,147,1,g
5,1135,1,ml
50,3555,11,ml
15,5305,1,g
35,6913,20,kg
27,4650,18,ml
77,4437,10,ml
29,7983,16,g
4,495,1,ml
97,7333,10,ml
8,4183,15,L
48,9322,14,L
75,4227,9,kg
30,7903,6,kg
45,6794,15,ml
63,3464,2,ml
57,1100,9,g
24,2151,8,L
97,3353,5,ml
3,841,12,g
40,3049,1,L
26,14,14,g
57,1035,6,L
18,7870,7,ml
23,8608,6,ml
95,919,17,L
57,2381,15,g
49,3902,14,L
40,6949,14,ml
58,9329,7,g
37,4612,12,g
41,8277,16,L
14,9761,7,ml
81,1239,17,L
24,1927,16,kg
69,4791,1,kg
85,5427,6,L
37,5014,8,g
77,8734,2,ml
42,3049,18,ml
41,8618,3,g
27,2560,13,g
9,6045,12,ml
2,9745,15,kg
23,2528,14,kg
59,3755,18,L
26,5018,19,kg
99,8230,15,ml
98,3455,4,g
1,6110,4,L
21,8493,5,kg
14,5587,15,g
27,4569,3,kg
56,9851,18,ml
37,3394,8,ml
72,9209,7,g
42,7865,16,kg
77,5714,17,ml
45,248,16,ml
27,9798,16,g
23,9725,20,L
57,4183,9,ml
26,5595,5,g
29,4268,20,kg
21,3486,11,L
97,7552,15,g
55,8329,6,kg
16,9740,20,g
28,7963,7,g
30,1481,9,kg
78,9527,17,g
66,9614,15,L
33,2925,20,ml
32,9743,18,kg
87,8809,3,L
89,4590,19,L
13,7302,15,L
66,1536,8,L
48,942,17,kg
51,7780,16,ml
3,6372,13,kg
34,9413,20,ml
30,74,10,L
95,9978,8,L
36,5414,9,L
71,2538,15,ml
15,7698,18,ml
35,3340,19,L
29,802,20,kg
84,2731,4,L
76,4070,20,ml
20,8159,6,kg
12,7952,10,kg
55,497,15,kg
80,9873,4,L
29,1198,19,g
61,5942,9,g
99,782,8,kg
20,7690,3,ml
33,7615,20,ml
19,7870,5,L
12,2417,19,ml
71,2667,10,kg
50,8689,9,kg
67,6045,3,g
81,2929,1,kg
16,8913,18,kg
53,4780,2,g
50,792,6,L
26,6840,20,ml
80,4337,8,ml
22,6968,11,g
18,4492,11,kg
56,6157,13,g
19,7397,14,L
22,6169,12,L
10,4727,2,kg
63,5866,14,kg
70,4048,17,g
100,6228,1,L
41,515,18,L
27,8455,18,ml
3,7859,16,kg
47,4966,19,g
4,2005,5,g
30,3993,5,L
66,8474,5,g
19,917,10,g
68,4877,1,ml
56,3997,11,g
53,7592,9,ml
87,3301,6,kg
91,8610,20,ml
59,6632,1,g
65,7995,12,ml
13,1544,10,L
93,7212,20,g
66,3384,18,ml
88,6367,2,kg
26,2754,1,L
55,3170,5,L
64,2845,1,L
48,2884,13,g
39,6088,9,L
7,615,15,L
83,7989,9,g
76,1742,20,kg
1,435,19,g
28,1121,3,ml
75,5112,14,L
62,5628,18,ml
53,2890,14,g
83,8724,8,g
46,6072,11,L
45,1182,6,g
19,7505,11,kg
23,9774,12,kg
61,1218,3,kg
98,6242,11,kg
38,7082,10,kg
50,8951,18,L
31,8921,14,L
46,2363,14,g
69,7219,18,L
48,2404,17,ml
64,6089,4,kg
16,2970,14,ml
71,8651,15,g
64,2000,1,kg
13,4108,15,ml
46,1065,17,g
56,5555,11,g
35,6272,16,kg
5,1359,8,ml
41,1746,12,g
88,1560,11,L
30,6142,16,ml
62,45,13,g
93,1595,13,ml
15,1436,3,g
64,6433,10,kg
29,1219,7,g
10,1451,19,kg
1,9318,2,ml
84,4004,18,ml
29,4800,15,ml
43,1769,8,kg
56,2117,2,kg
21,5462,20,L
28,5049,4,kg
14,2755,17,ml
23,8077,8,ml
71,8879,9,ml
75,889,14,ml
33,6133,19,L
50,5294,18,kg
64,6608,18,kg
32,431,8,kg
39,5123,20,kg
62,3156,17,ml
63,1517,14,L
86,7175,9,L
50,5495,17,L
20,5118,11,kg
87,2112,17,ml
82,3165,3,kg
94,2412,1,ml
19,1639,3,kg
29,37,16,g
11,5950,14,kg
84,6658,18,ml
65,8286,11,kg
71,5163,17,g
6,5047,3,g
85,8950,6,kg
34,4541,7,L
10,5994,12,g
2,148,9,L
97,2560,6,kg
5,9810,10,kg
15,3298,3,L
16,7365,19,ml
66,1650,14,L
96,994,13,g
98,4463,20,L
2,1045,20,ml
62,1834,5,ml
18,2357,20,ml
33,1475,16,kg
79,6701,6,ml
13,4846,9,ml
18,7595,14,L
22,6886,12,kg
10,516,6,g
49,8224,20,kg
11,3488,3,kg
66,6285,18,ml
35,5503,8,ml
83,4559,9,kg
62,6427,12,L
100,3618,19,ml
81,7707,18,L
2,7777,16,kg
73,4967,1,ml
41,7034,11,kg
85,3299,6,ml
58,5666,13,g
8,5612,15,g
44,4772,8,L
49,5705,10,g
81,5888,19,kg
