id_comanda,id_mesa,id_pagamento,id_funcionario,valor_total
6541,63,338,560,185.56
8955,3,262,28,21.33
6352,27,628,183,68.59
3813,70,7611,690,81.41
5068,50,1879,163,21.53
7367,41,5466,296,33.26
4499,94,1302,768,111.14
5436,4,1180,846,67.74
2318,52,7989,651,115.64
1155,78,6731,921,175.94
6972,83,4231,28,192.72
538,88,8877,822,160.18
1612,83,7325,400,92.34
6580,35,5383,506,98.41
603,58,7291,318,138.7
7515,35,5309,694,34.14
1758,58,4326,888,116.39
8739,39,1269,250,132.3
3482,97,4180,567,197.41
9902,68,540,977,22.61
5121,29,376,419,198.76
790,12,1622,542,92.69
4455,52,9222,971,136.37
787,97,404,8,107.84
9802,93,2468,873,91.54
2609,55,6674,804,119.97
654,27,1152,45,111.86
3066,57,9224,777,121.44
6587,1,4591,778,182.26
5647,40,329,1000,47.06
7645,45,5135,806,170.04
3995,96,5483,461,179.23
2000,30,7873,214,89.12
1063,41,5362,514,167.77
2628,47,3105,605,36.11
581,36,4128,62,176.5
7580,67,3977,144,112.44
2978,37,4685,105,96.6
2323,32,4484,246,18.42
3701,32,9069,642,181.66
1219,10,2861,462,192.26
6103,70,4171,521,15.74
8623,21,6487,914,130.28
1589,10,6771,450,99.57
7873,96,5583,479,34.54
2594,80,862,730,47.59
2247,13,7058,112,61.21
3671,29,760,379,21.56
5311,33,7384,136,64.5
7269,94,4507,197,67.3
8719,97,2856,213,178.9
5690,67,8989,391,167.41
155,61,6042,157,102.72
3734,61,6958,149,56.91
6301,19,2516,565,116.38
2299,86,2469,834,108.4
3943,79,3505,363,107.53
6177,65,5069,631,51.32
7533,83,4436,774,29.99
9252,65,5283,530,186.59
4930,56,7742,394,14.61
3750,94,5686,439,89.5
3072,8,768,321,138.71
9477,96,2013,214,48.31
8299,97,1839,314,192.57
7577,94,3197,266,124.3
7879,17,531,625,69.11
5191,85,7020,41,197.05
3941,82,4160,523,96.19
5142,16,62,701,49.8
7300,84,4296,643,52.19
6772,20,7662,820,113.56
1441,5,6705,463,46.83
3847,6,1709,409,149.64
6944,6,9006,936,33.56
6839,56,9705,125,98.3
2505,38,2994,267,78.47
363,1,7113,752,99.71
3017,67,2935,236,69.29
8122,29,7016,255,31.05
2220,26,7051,476,166.44
4216,93,2634,350,112.16
142,22,2822,310,38.49
8031,45,7259,618,142.75
5992,57,5858,77,137.14
5145,75,9420,422,11.97
2770,55,3985,460,114.9
3403,71,2322,755,102.33
5017,45,9988,528,182.27
8516,35,3372,830,114.3
5914,67,5614,37,68.29
5265,53,2780,54,11.84
4774,81,1824,889,20.55
1414,40,6379,166,72.06
1791,36,3806,387,89.32
1480,13,2846,532,32.31
7022,8,657,648,121.06
1373,49,125,483,160.98
8673,74,6268,108,171.71
9508,89,4812,463,55.91
7605,78,2324,639,195.76
1393,52,8534,274,140.56
5890,45,8681,32,63.19
3692,25,7528,188,116.17
988,26,4632,374,53.43
4837,5,7316,50,122.19
8141,66,3773,904,15.88
829,76,9334,504,90.61
8768,59,3366,293,60.59
1337,57,1558,588,25.01
3735,77,8426,115,26.81
4856,60,7036,335,138.03
1025,82,6913,985,101.23
7526,8,2254,826,125.62
5621,51,4383,916,144.03
9275,36,3842,325,187.52
7042,44,2271,960,190.28
8005,88,8460,181,35.13
1191,28,2448,269,102.89
9419,54,1864,528,160.38
496,39,4537,510,113.37
6076,26,1493,860,185.22
8033,54,614,915,42.43
9499,51,1116,138,45.83
2358,51,9853,685,35.96
4674,82,6132,155,67.13
6006,15,8370,650,115.01
1183,92,7879,642,78.79
3133,64,9330,4,160.49
1034,65,5,516,85.86
9703,74,9914,919,112.64
5501,94,3257,429,41.62
5469,19,7607,92,70.0
2092,62,6303,552,172.79
9843,33,4511,832,145.69
8591,82,2863,56,22.51
8884,97,4546,135,11.32
7168,43,6712,676,189.62
4293,12,1150,99,58.72
8263,2,2185,269,129.36
8334,18,1140,521,18.58
9860,6,4064,602,38.55
244,91,85,319,106.24
2359,31,1191,140,30.08
4787,69,2210,138,92.45
3786,12,5485,223,68.32
7253,30,1186,732,79.14
8288,46,15,427,136.1
293,52,5834,39,99.61
1027,10,8148,956,182.89
5288,96,8703,909,87.02
2578,14,8248,690,171.84
7431,5,3574,609,36.65
718,28,8119,589,157.27
2488,55,4161,739,76.52
1333,24,48,792,20.2
9877,34,2101,497,52.87
9270,39,5588,612,102.53
91,9,7955,624,156.21
3030,29,1544,390,164.63
9559,58,5929,837,147.67
936,41,1279,612,147.77
36,64,2525,505,90.43
7478,50,1466,3,57.38
3865,96,1339,965,79.97
2738,5,216,734,24.35
3477,95,6612,899,94.24
8066,94,9134,765,70.26
1905,72,8188,59,117.36
4456,23,343,508,51.11
5554,97,442,401,58.81
8698,29,5544,670,71.75
4366,59,8314,173,15.14
7268,30,1619,556,74.17
4066,81,7227,717,11.56
3503,28,7785,385,85.42
2701,78,8840,974,90.43
8503,96,1984,491,22.55
3781,71,9321,610,179.66
9271,1,7865,468,177.0
6894,26,1110,852,143.01
3616,50,8056,967,134.29
3549,62,1980,373,15.6
8687,73,9954,678,176.7
4863,14,6860,261,148.99
7259,11,7574,702,24.65
1190,17,7575,525,179.66
4926,41,9257,28,181.65
3838,28,8830,270,35.22
8848,81,9657,307,147.35
2288,89,9799,896,64.86
3074,91,3083,557,121.61
2279,3,4403,974,168.77
2432,25,8109,244,177.84
5382,52,1389,667,169.88
2273,63,3081,865,96.87
6363,83,5743,979,138.55
6907,44,8128,740,130.01
3295,8,611,289,196.68
4465,58,6147,52,47.76
7392,63,3982,838,170.05
1494,63,1297,584,29.7
3206,32,4242,307,25.31
652,34,2317,83,10.26
3243,58,5051,370,56.97
2011,97,4278,658,57.82
8536,18,2533,962,85.44
9879,48,3302,196,123.47
6030,27,4721,858,141.26
5790,97,3729,547,138.24
1882,53,5930,967,26.44
8116,75,509,446,26.0
392,81,5761,192,121.53
6184,6,5050,144,156.3
8954,39,6358,613,43.38
4196,14,3352,948,139.45
4473,6,2368,262,63.57
5299,25,1075,869,13.36
9394,93,8932,936,54.48
1468,28,3329,651,153.78
8423,99,3418,184,126.72
7991,40,533,920,100.6
4987,92,7691,277,96.31
2850,95,667,739,169.55
7278,43,749,642,178.03
8414,36,1062,730,143.98
1140,97,158,936,42.0
3420,78,9868,279,38.46
2015,34,5569,115,33.36
4840,67,5101,7,17.0
2589,100,1023,406,160.18
4044,73,1313,48,130.02
4445,87,4320,358,198.68
5625,94,8829,389,150.77
7399,26,8869,854,154.67
682,26,7352,674,186.21
6272,84,3960,658,127.79
2859,12,2397,26,93.77
4056,19,6193,932,49.29
8784,6,1894,214,85.77
3638,9,8611,626,64.84
5156,26,673,753,63.4
7489,71,1933,669,16.79
3207,53,8266,134,199.44
6015,65,236,252,19.38
5241,54,8728,829,67.27
7242,15,6323,198,41.0
1476,74,6598,697,143.18
7030,11,1518,878,126.96
4915,93,1462,70,160.59
5847,7,5274,548,66.19
5721,58,9470,58,137.48
8493,53,9606,401,60.13
5933,12,7211,698,60.31
3042,71,2490,138,148.05
9324,44,7928,680,163.69
2055,35,7832,37,138.5
7468,99,2624,355,146.84
5939,94,9314,297,100.49
5195,6,4981,172,12.35
8404,76,5668,785,121.43
4356,67,3115,31,87.6
3028,7,5934,813,166.42
4571,83,4178,955,51.08
1640,98,2871,611,70.54
8077,93,3785,594,98.69
3246,73,7484,34,120.7
6899,22,5948,775,116.34
1729,39,412,554,109.64
2434,94,6818,959,197.09
9590,100,8194,486,90.74
4755,33,2973,506,33.77
9704,99,2316,75,28.86
253,32,1969,587,181.33
8484,97,775,962,177.08
8832,86,1042,429,109.98
2489,14,6406,875,57.63
7536,27,8975,419,30.41
2284,40,1295,203,130.52
8820,51,8477,959,111.29
6297,63,2827,183,185.92
9892,28,2505,932,100.01
3902,9,9056,530,182.29
4950,36,8483,664,31.78
9501,85,2412,827,137.36
3974,90,1688,10,36.06
4039,50,1348,473,81.41
6941,13,6880,852,101.98
4154,58,8366,966,143.4
6583,51,8622,521,63.82
5085,11,6396,23,157.11
9998,83,4623,138,109.93
6637,50,8038,367,119.45
4220,93,5538,748,44.33
6661,28,2996,897,199.04
1435,1,1732,582,50.42
5864,8,1924,222,79.43
5725,87,9584,949,32.57
5576,93,6717,798,111.0
8618,74,5961,634,132.3
59,75,9424,175,171.3
6535,68,5104,486,162.82
8400,87,1459,847,132.14
5438,82,9570,669,64.48
995,23,1703,409,114.19
8983,85,346,944,46.3
271,5,9387,340,10.98
3427,63,8464,357,138.84
6980,24,8997,535,184.67
2010,69,7187,156,17.63
8457,92,3915,602,115.26
1727,92,9459,708,95.85
5359,31,5076,795,43.11
553,63,5724,970,28.16
9557,17,9053,179,16.03
2815,99,8609,993,154.66
4935,93,3741,558,122.96
1014,98,4525,723,87.34
3218,26,3408,194,184.6
6190,37,7820,32,155.99
4563,89,6881,893,77.48
9710,55,9210,702,162.08
7973,7,5817,79,82.56
5881,74,9383,370,169.74
3719,20,9765,561,29.72
4790,63,9781,1,33.85
3115,6,6911,992,120.67
4363,58,2382,125,158.16
8060,79,7225,310,12.33
2498,91,1076,477,158.72
3335,90,8101,378,133.97
6201,3,8617,586,109.46
6463,97,3291,543,55.52
2383,21,9878,35,87.59
6749,18,5972,21,142.46
8602,77,7308,211,65.85
8100,62,7547,845,32.87
9179,91,2038,592,130.95
4188,83,1896,691,108.47
6079,91,9867,954,120.96
3957,61,9129,102,92.08
213,51,2352,324,98.97
1899,85,6041,84,69.64
9853,54,7266,777,133.01
9336,35,2893,487,129.82
9145,53,2950,239,20.3
1315,7,7598,161,28.21
1615,78,5335,946,26.59
801,25,2139,834,91.55
922,61,3718,960,40.4
1431,39,8654,549,32.07
4256,5,476,32,130.96
2580,77,9371,23,22.93
2183,65,8433,817,195.63
2743,38,1939,999,153.61
3110,24,1529,601,198.32
7939,74,2071,262,149.11
5756,26,5725,260,194.58
8431,5,8057,673,45.06
8697,77,7444,295,139.24
7369,62,1624,120,37.49
2675,64,5015,236,47.05
9801,21,502,15,192.35
1860,45,8335,398,111.66
8866,86,1013,18,69.55
1861,68,9786,735,129.52
7187,32,9389,768,170.96
5589,84,7876,276,168.69
8557,48,4486,77,179.86
5269,82,2362,842,135.65
9774,75,1640,241,22.07
6958,31,9045,122,124.65
2904,58,9310,74,111.8
8346,92,6444,751,157.74
6594,98,181,997,80.48
3275,8,5251,392,130.99
5192,30,8924,293,178.05
2168,36,5597,392,22.65
7096,43,5202,856,107.49
7766,48,2363,68,42.91
2521,20,761,243,149.24
2571,75,3174,209,159.63
1816,23,8735,495,75.83
6628,97,7105,972,53.73
5200,76,1620,30,196.43
3890,37,7730,456,33.19
2931,84,3223,981,33.0
7474,5,6954,23,127.91
9862,100,2289,442,68.98
89,44,5550,576,198.19
6648,80,3451,269,192.46
3151,40,5092,973,25.52
314,82,1474,885,59.94
7822,6,2778,174,42.92
6052,59,4139,640,130.4
6510,39,6496,938,122.84
7222,88,529,497,78.73
2939,2,6760,794,183.37
9917,94,289,799,115.03
1726,11,5672,775,186.73
7332,10,5627,335,42.37
9098,57,4402,855,146.16
861,95,3230,693,56.29
7791,54,5149,478,163.95
8001,91,730,513,151.47
6862,60,935,61,154.76
5459,100,7511,768,127.8
2018,46,7065,947,86.52
412,13,425,540,120.55
4081,68,2374,397,197.82
9498,95,847,490,67.68
939,38,7813,234,114.86
6753,7,9031,503,182.94
3564,95,3237,321,13.77
5970,23,8690,575,177.52
8770,19,6480,793,123.26
5592,13,9609,401,63.99
7486,60,5095,612,29.82
9592,24,4141,727,12.84
9068,69,4398,635,178.23
1104,59,9003,64,110.3
1980,35,7882,280,10.84
5435,47,1545,38,40.31
8601,2,2982,674,192.15
4018,55,420,831,35.99
2134,34,6939,262,73.04
4904,84,4739,549,35.87
6255,90,912,447,109.1
4338,1,3885,679,170.77
2433,20,6090,654,110.65
4077,26,1319,325,199.38
4089,56,1456,810,115.76
5876,53,6019,387,171.66
5127,28,6579,220,112.58
4943,10,4415,381,170.01
6210,57,1974,149,138.03
8823,64,2570,63,138.07
3720,33,7251,779,10.38
2367,70,8033,296,93.39
5147,51,9105,793,87.48
1082,66,1979,384,165.33
8257,1,4830,408,15.36
9091,49,6821,702,119.37
6697,63,764,62,95.65
8080,50,3882,947,125.65
3061,60,1524,349,149.48
5582,34,645,422,89.2
2606,54,2147,289,47.48
6072,70,4249,236,26.91
338,23,5577,256,187.39
5895,50,9586,372,40.79
419,48,1222,180,34.57
635,51,1900,717,63.13
1788,69,4763,27,55.63
3043,54,8277,251,48.06
6039,28,7722,111,38.7
6924,1,1785,472,112.39
5117,64,5218,481,177.17
351,67,4635,519,158.71
4688,84,5571,124,12.53
9076,29,3788,405,40.61
2439,39,4382,722,92.64
2785,98,4577,627,58.74
732,45,9565,730,58.67
1,8,9301,466,70.01
5492,28,2356,390,83.22
539,57,6884,192,194.3
9294,49,7697,257,185.52
2239,40,1320,144,79.95
8073,1,8168,545,187.88
1397,10,1734,615,156.14
3016,64,8623,736,182.94
6784,95,9327,526,147.22
7461,94,6679,106,168.04
8711,23,4563,974,41.35
7915,53,6250,544,143.8
6515,93,7687,994,87.96
431,28,4886,709,39.26
5406,57,97,853,160.22
23,29,1078,977,115.15
5105,95,4671,79,165.95
5859,33,119,110,130.87
3540,38,1813,958,55.91
5408,63,6662,738,177.98
2879,29,1378,712,34.09
2159,49,773,832,143.91
2632,66,7561,533,47.02
6234,70,7203,215,60.53
5711,32,6349,581,22.38
3329,51,583,669,63.62
6708,17,8117,407,195.88
262,47,111,291,147.75
457,96,6687,159,194.44
8718,78,2126,486,33.07
749,1,6740,934,102.92
8620,48,6646,368,52.27
8276,74,6592,697,61.07
8553,13,8895,940,155.19
4151,65,6248,175,92.18
5905,44,8256,974,32.13
8110,38,6428,129,103.8
1487,24,2179,472,179.92
9427,27,763,833,55.89
4893,97,5848,705,126.62
1071,14,2076,277,145.96
4357,43,4593,316,158.26
9160,55,7705,754,135.88
5779,54,1698,89,162.61
5433,25,8635,181,58.0
5238,41,5145,545,150.0
1399,97,3635,459,79.28
3843,53,4533,295,11.25
9198,35,9207,58,126.18
5505,76,386,630,118.92
8543,24,9079,142,134.66
9618,46,534,736,112.29
9399,86,5269,875,78.31
289,76,9482,741,177.87
722,80,5912,965,145.75
9725,56,2189,939,20.52
7650,74,3392,796,170.49
1084,4,3727,37,183.01
2102,90,2542,169,59.83
1952,11,7844,970,124.83
8989,12,4841,276,183.12
1515,42,4165,406,174.56
960,69,8154,927,40.43
3321,83,2402,753,175.18
6305,46,7403,811,53.03
8385,19,852,211,75.67
2395,73,477,366,63.36
4116,65,5691,494,149.44
3696,88,4813,807,153.57
9070,69,2656,544,139.88
6464,70,7154,513,184.22
4881,14,8732,743,173.91
3981,7,3671,63,91.77
5498,18,7843,277,132.62
9771,72,6297,424,71.66
6456,24,6060,242,52.74
6688,94,8608,6,167.54
7425,81,3298,267,96.57
9298,100,2171,515,90.14
9627,66,1309,598,82.96
8650,77,6830,669,55.65
1495,31,9800,269,140.95
6765,30,472,917,196.39
2862,40,8934,60,164.43
2321,16,8636,139,78.5
7910,26,3191,115,192.57
4586,95,6260,583,92.18
2437,64,1232,778,30.96
2875,57,2017,724,82.91
1121,99,4999,978,119.46
1360,77,3344,235,98.78
3613,9,7289,86,175.61
9273,82,1074,463,96.26
5176,13,7883,934,25.24
7304,49,9772,893,10.02
4345,37,5742,530,191.94
5676,7,4136,749,173.73
9210,91,2518,318,134.08
4796,41,8362,23,97.54
9350,3,1087,201,144.94
9943,56,7796,391,164.39
6073,70,8098,435,57.65
6968,24,4238,699,174.43
3090,31,737,966,197.04
3125,88,482,75,186.26
5773,43,4023,251,83.93
245,41,446,87,121.53
4504,3,2465,119,138.53
4795,25,4770,881,98.67
4941,20,8274,252,30.68
733,95,5003,111,153.4
3137,60,7061,250,30.86
8072,71,8638,607,42.7
876,42,1469,594,78.23
320,1,1818,65,48.45
1346,99,4084,624,27.49
6625,45,3952,91,109.86
3386,64,6698,433,191.89
5789,63,5166,328,19.23
2313,49,8660,962,45.91
1142,35,8326,42,115.85
3899,36,7329,225,143.56
7995,33,6544,928,178.56
1910,73,4803,469,57.68
5033,72,1310,825,98.73
6904,91,4469,118,17.01
403,82,7372,955,32.16
9377,34,5679,432,161.68
4461,4,733,824,141.08
7238,27,6488,801,83.27
4982,29,4754,655,195.84
7282,89,750,804,107.98
9608,41,7736,18,15.23
1789,32,8164,386,187.68
7003,63,6991,407,28.91
6025,25,9888,788,30.1
6622,33,2618,916,83.44
7998,93,8129,938,190.72
4599,52,1941,128,52.45
4475,14,5236,630,64.76
7782,41,1800,309,147.9
4894,60,9803,118,117.95
4984,29,1500,778,41.64
5874,9,7131,334,70.88
5549,15,8849,617,49.04
3870,33,7786,511,94.85
8772,99,5171,726,41.73
3032,56,9820,869,122.94
9581,93,8297,483,179.32
6645,71,4250,562,179.35
3346,4,9737,95,159.58
3376,5,8887,405,30.36
6664,96,2132,12,99.29
2969,22,4145,180,15.98
5291,6,1809,528,140.4
6604,79,6353,17,80.63
637,30,4062,251,172.32
853,13,2709,416,169.84
4402,60,4390,538,29.05
6151,52,2731,294,19.51
6987,68,6125,483,194.93
1759,84,1593,901,79.3
7635,37,2263,382,151.61
4103,60,3071,164,71.74
3260,51,1985,962,47.47
4639,78,3508,156,45.06
1559,27,970,675,140.89
5533,86,6362,106,183.45
5867,63,4441,903,114.27
7103,16,4643,966,51.23
2569,6,4902,17,111.76
7681,48,4359,23,126.79
2386,11,1388,243,23.68
7644,29,8944,924,147.22
1331,36,757,603,163.14
2339,21,5578,888,163.77
3397,78,4600,541,145.62
8724,31,6369,739,159.48
7208,39,5179,19,185.73
3223,51,6391,520,157.97
9909,16,4968,690,87.04
6722,55,7086,747,84.53
1741,74,1633,514,85.12
3954,83,6503,274,111.23
8689,2,4802,219,91.15
8627,67,4246,481,84.6
5369,36,6228,534,59.07
4937,13,6755,724,154.3
7020,46,9632,250,166.04
3311,92,678,319,125.98
5757,42,1398,865,36.57
9792,39,5699,325,28.94
6872,36,4433,765,159.69
6178,30,3079,729,164.64
456,43,481,441,142.09
5657,79,1372,643,103.21
6740,34,4446,534,58.6
6585,10,1207,36,189.04
1319,28,5200,706,152.86
1154,89,8172,11,68.43
5130,35,6479,871,187.31
7741,92,8769,259,176.17
2212,16,8351,9,63.72
5507,93,6840,761,23.01
6490,81,8000,293,170.25
9546,23,8264,503,64.96
3681,90,7117,668,109.57
8330,42,2917,277,28.75
9721,25,4168,620,65.19
3026,9,6661,399,182.85
9422,93,5311,525,189.98
2026,95,1167,218,172.1
2700,25,1662,516,13.46
73,45,5168,58,143.01
4845,90,6571,573,64.83
467,94,3649,820,128.96
8010,94,3394,696,116.24
9174,67,2159,714,66.52
781,83,7070,686,53.49
2997,27,5097,395,11.55
5483,23,1937,308,95.9
2744,23,4561,169,137.71
1926,74,6345,965,173.47
8696,32,6162,859,26.9
2883,72,4572,512,44.14
8932,86,3359,138,183.01
7975,19,9116,93,33.92
371,18,2603,348,70.58
7562,6,6641,940,116.47
8722,83,4653,931,16.32
4102,75,9652,613,162.26
2922,39,9152,736,24.89
4311,5,5772,238,83.84
5305,62,4442,603,10.53
6847,97,4670,882,67.13
2346,80,7360,410,185.82
5242,5,2514,268,184.41
9386,21,5906,528,177.79
2462,74,7107,303,166.48
186,43,4245,942,164.34
3498,49,1701,772,96.72
5999,18,6560,335,79.15
8442,97,7226,426,20.98
1045,8,7092,104,70.12
4254,52,7232,686,60.81
6011,24,9945,206,154.1
1499,40,9304,144,40.19
6010,10,9882,481,59.55
2296,31,4991,827,163.44
1583,25,4884,866,67.59
4073,48,180,638,111.24
5619,60,5889,157,119.36
9873,71,2976,612,186.13
2677,78,5417,18,63.13
8271,2,8221,846,139.07
7081,31,1084,500,14.41
8289,83,3975,843,46.16
9457,97,6128,45,199.3
4308,87,1073,847,196.9
2337,3,4603,127,183.91
2041,28,2149,274,40.64
1402,10,4576,185,20.65
9868,54,6375,308,104.2
9074,42,6153,642,137.45
4444,92,2345,411,35.48
3296,51,2031,197,48.14
9390,87,5270,17,75.1
4779,50,2642,751,44.34
6898,76,4789,847,58.0
6701,100,5802,443,147.41
4009,56,8725,525,129.35
2664,42,1793,825,128.77
5118,36,2770,459,111.58
9272,88,6144,380,155.35
3554,56,8463,66,169.02
2590,32,3968,321,24.99
3453,83,5600,992,23.92
2867,39,9935,720,173.8
4328,83,5756,248,93.85
7254,39,4269,259,199.35
1231,13,8647,106,177.31
2882,98,379,30,99.99
1690,21,2706,794,66.44
4653,16,811,288,24.93
5398,19,4174,502,172.4
6871,48,3378,494,95.82
1734,43,984,513,176.99
1379,71,9905,885,134.81
9920,31,6994,377,123.77
6487,33,9139,543,16.14
3975,7,7977,258,130.5
714,43,7612,908,17.77
3560,36,5713,746,189.46
7172,16,5982,485,179.84
8115,11,8791,320,150.88
1902,27,5642,902,145.61
5107,83,5914,872,188.55
7024,21,8376,264,43.26
2680,10,3908,620,47.43
9671,44,6476,135,159.17
8154,81,7630,89,103.52
3418,80,1379,376,115.11
5339,19,6101,588,116.76
9238,39,3804,981,195.15
2918,31,3139,156,158.36
241,73,3992,763,57.1
9428,97,6942,503,66.63
5329,1,3458,69,87.89
8973,87,5396,391,67.63
4969,21,9590,602,176.44
9600,37,323,83,105.03
8635,94,1758,741,20.63
6640,26,5004,203,188.73
5122,94,9555,27,56.62
3382,67,5491,384,12.81
5286,34,4420,631,17.69
411,70,6238,760,136.69
4804,11,7944,784,22.93
6656,94,6351,303,59.99
5478,3,6355,600,181.03
4853,37,2802,874,58.0
250,7,3548,161,82.05
1908,97,4411,363,68.59
9150,83,163,440,32.49
673,22,9760,971,51.27
2588,3,2298,574,187.85
94,26,9577,353,160.84
7488,7,8662,205,39.43
3632,19,5144,452,94.92
3211,59,7830,330,48.72
9369,87,3758,852,102.2
2868,95,871,857,91.17
3268,24,1585,252,99.24
7056,49,3683,630,99.48
5568,23,205,754,106.93
185,31,124,133,176.34
2069,2,6738,17,186.59
8863,67,8745,379,34.01
3801,61,4899,800,175.57
8611,34,2676,645,108.15
1981,16,5180,395,141.72
3051,75,997,171,118.5
9262,54,3587,580,109.18
3705,56,8409,47,10.16
4970,54,3608,107,63.64
6001,28,2801,244,48.44
4489,12,2338,733,37.72
5125,1,3465,320,21.77
3600,38,640,886,16.87
9137,82,2106,199,53.08
8013,21,4807,817,173.89
348,100,3593,631,145.52
6865,69,2984,785,65.69
7429,17,7327,456,162.39
4192,75,1548,206,187.58
2002,68,6093,395,16.68
3961,61,2535,536,176.12
438,97,9236,226,83.01
1636,62,6509,389,44.62
3839,75,5332,142,145.2
4702,99,5853,204,157.22
526,86,4260,386,66.47
3834,44,1646,314,65.44
1732,12,9347,184,138.66
4055,6,3615,598,58.19
7883,43,2690,872,196.87
1352,75,9881,192,63.92
1865,32,9064,203,78.61
6253,71,9192,231,78.79
87,66,1531,608,71.41
2530,25,452,762,94.97
8264,24,8502,194,188.98
7917,39,1185,763,33.75
7410,46,6836,626,89.69
9008,72,34,957,171.85
5564,70,3844,760,56.25
8639,35,4262,510,107.68
8103,97,8036,800,113.83
7054,58,3945,387,127.97
6070,60,6221,995,37.05
259,83,2544,354,51.72
8345,9,7635,586,14.3
7361,42,582,360,167.46
4769,38,2998,588,86.92
7362,44,39,593,193.55
4020,95,6769,885,97.12
5054,79,2549,287,46.23
9578,50,9211,732,80.22
5641,47,8663,644,197.4
5805,82,50,572,183.71
2817,15,4404,901,139.54
1436,80,3871,526,133.25
6929,72,2777,230,198.43
5225,100,9622,775,150.35
4438,24,3318,198,76.22
5077,27,9791,754,97.15
162,76,1384,303,161.14
4262,87,8011,66,53.8
6359,67,9141,100,100.33
6346,98,5884,350,57.77
1715,74,836,70,123.56
856,76,7717,881,17.93
7628,13,9509,414,12.88
8021,96,3338,982,126.84
5553,41,3097,83,186.02
3289,88,842,83,152.12
6874,74,1065,336,16.67
6,20,7982,985,172.91
6055,8,6528,510,177.49
2732,47,3369,829,134.96
7073,30,6500,736,156.24
8058,31,7125,518,194.32
5691,82,3216,584,100.01
8391,8,9857,276,150.25
5442,50,1602,431,93.13
7010,36,4462,607,48.28
2094,81,4631,975,25.71
2763,99,8085,16,70.99
545,66,1880,938,94.68
920,10,8741,758,150.13
4844,67,6256,758,185.17
4266,86,5869,763,34.28
3455,90,2531,482,63.58
9299,57,1805,231,176.52
7381,68,8495,73,125.34
1670,16,2295,655,102.95
8690,16,5214,688,69.88
9036,90,86,50,26.29
4437,51,60,674,165.72
8469,8,2591,494,186.23
3049,82,4319,189,196.03
7807,24,5519,474,113.66
400,28,4439,907,132.51
2812,41,3280,827,64.07
587,21,1532,946,110.95
6286,9,9080,228,51.74
2,21,6136,54,125.22
4972,72,1312,614,158.77
7778,19,2105,944,22.23
282,72,7336,839,112.27
9638,29,2821,578,149.34
572,66,334,511,84.24
8851,56,5160,678,159.41
9699,27,8120,218,114.31
321,18,1598,665,187.55
2906,54,6728,769,167.73
9158,85,5797,472,92.73
8361,91,743,620,27.19
1870,59,4545,966,77.51
3232,66,4132,398,187.85
7567,56,7162,374,125.11
1381,65,7019,872,131.68
4506,76,56,231,120.35
5489,24,5455,43,28.4
2441,24,3904,661,126.11
2567,100,8571,785,76.29
5775,75,1092,794,157.38
8931,78,293,682,155.27
4368,73,503,331,41.58
3762,69,147,542,82.62
7733,37,4148,865,35.81
6620,25,4951,213,163.45
4820,86,695,891,132.68
7846,32,1473,427,36.82
112,30,4099,396,144.05
2622,89,9807,649,139.46
6119,92,1866,772,25.33
6755,74,3903,150,69.71
5426,85,641,873,17.94
274,50,8834,776,199.5
1649,53,2864,603,99.59
